Overriding config with configs/golem_45m_tierB_gpt2tok.py:
# R2 — ABLACJA TOKENIZERA. Identyczny model i korpus co golem_45m_tierB.py,
# tokenizer GPT-2 (50257). To JEDYNE porownanie, ktore uczciwie mowi,
# czy Twoj tokenizer polski cokolwiek daje.
#
# TEN SAM budzet bajtow (3.0 GB). Poniewaz bpt(gpt2, PL) ~ 2.3, wychodzi
# ~2.3x wiecej iteracji i ~2.3x wiecej FLOPs. To NIE jest blad konfiguracji —
# to jest wynik i nalezy go zaraportowac (rowne dane = wyzszy koszt).
#
#   3.0e9 / 2.3 / 245_760 = 5308  ->  max_iters = 5300   (~2.5 h)
#
# Wieksze logity (50304 vs 32768) -> mniejszy batch, ta sama liczba tok/iter.

out_dir = 'out/r2-tierB-gpt2tok'
eval_interval = 400
eval_iters = 100
log_interval = 10
always_save_checkpoint = False

wandb_log = False
wandb_run_name = 'r2-tierB-gpt2tok'

dataset = 'pl_gpt2tok'           # TEN SAM korpus, ten sam split val, inny tokenizer
batch_size = 12
gradient_accumulation_steps = 20
block_size = 1024

n_layer = 8
n_head = 8
n_embd = 512
dropout = 0.0
bias = False
vocab_size = 50304               # 50257 zaokraglone w gore do wielokrotnosci 64

learning_rate = 1e-3
max_iters = 5830
lr_decay_iters = 5830
min_lr = 1e-4
warmup_iters = 150
weight_decay = 0.1
beta1, beta2 = 0.9, 0.95
grad_clip = 1.0

compile = True
dtype = 'bfloat16'

# WARIANT B (druga os porownania): ustaw max_iters = 2300, zeby wyrownac FLOPs
# zamiast bajtow. Wtedy R2 widzi 2.3x mniej tekstu. Zrob oba i pokaz
# BPB vs bajty ORAZ BPB vs FLOPs — dopiero te dwa wykresy razem sa uczciwe.

tokens per iteration will be: 245,760
found vocab_size = 50257, bytes_per_token = 2.066 (inside data/pl_gpt2tok/meta.json)
Initializing a new model from scratch
number of parameters: 50.91M
/home/kasia/golem-projekt/golem/train.py:202: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 34, with 51,421,696 parameters
num non-decayed parameter tensors: 17, with 8,704 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 10.9475, val loss 10.9460
iter 0: loss 10.9393, time 14142.18ms, mfu -100.00%, 0.00 GB
iter 10: loss 9.6992, time 1253.35ms, mfu 22.36%, 0.01 GB
iter 20: loss 8.5969, time 1257.30ms, mfu 22.35%, 0.01 GB
iter 30: loss 7.2714, time 1255.79ms, mfu 22.35%, 0.02 GB
iter 40: loss 6.1776, time 1254.96ms, mfu 22.35%, 0.02 GB
iter 50: loss 5.2368, time 1257.04ms, mfu 22.34%, 0.03 GB
iter 60: loss 5.1672, time 1255.67ms, mfu 22.34%, 0.03 GB
iter 70: loss 4.4795, time 1259.46ms, mfu 22.33%, 0.04 GB
iter 80: loss 4.4466, time 1254.98ms, mfu 22.33%, 0.04 GB
iter 90: loss 4.2017, time 1268.36ms, mfu 22.31%, 0.05 GB
iter 100: loss 4.2356, time 1254.93ms, mfu 22.31%, 0.05 GB
iter 110: loss 4.2135, time 1261.30ms, mfu 22.30%, 0.06 GB
iter 120: loss 4.0710, time 1253.62ms, mfu 22.31%, 0.06 GB
iter 130: loss 3.9453, time 1258.90ms, mfu 22.30%, 0.07 GB
iter 140: loss 4.1229, time 1258.95ms, mfu 22.30%, 0.07 GB
iter 150: loss 4.1536, time 1255.66ms, mfu 22.30%, 0.08 GB
iter 160: loss 4.0214, time 1255.39ms, mfu 22.30%, 0.08 GB
iter 170: loss 3.8610, time 1252.65ms, mfu 22.31%, 0.09 GB
iter 180: loss 3.8226, time 1249.91ms, mfu 22.32%, 0.09 GB
iter 190: loss 3.8555, time 1251.26ms, mfu 22.33%, 0.10 GB
iter 200: loss 3.8118, time 1263.39ms, mfu 22.31%, 0.10 GB
iter 210: loss 3.5384, time 1252.05ms, mfu 22.32%, 0.11 GB
iter 220: loss 3.6033, time 1262.03ms, mfu 22.31%, 0.11 GB
iter 230: loss 3.6666, time 1257.21ms, mfu 22.31%, 0.12 GB
iter 240: loss 3.7867, time 1242.82ms, mfu 22.33%, 0.12 GB
iter 250: loss 3.7489, time 1247.56ms, mfu 22.34%, 0.13 GB
iter 260: loss 3.7752, time 1263.04ms, mfu 22.33%, 0.13 GB
iter 270: loss 3.6048, time 1250.53ms, mfu 22.34%, 0.14 GB
iter 280: loss 3.6661, time 1262.62ms, mfu 22.32%, 0.14 GB
iter 290: loss 3.3567, time 1257.28ms, mfu 22.32%, 0.15 GB
iter 300: loss 3.5375, time 1261.90ms, mfu 22.31%, 0.15 GB
iter 310: loss 3.4297, time 1259.81ms, mfu 22.30%, 0.16 GB
iter 320: loss 3.3898, time 1254.99ms, mfu 22.30%, 0.16 GB
iter 330: loss 3.3314, time 1250.93ms, mfu 22.31%, 0.17 GB
iter 340: loss 3.2469, time 1255.85ms, mfu 22.31%, 0.17 GB
iter 350: loss 3.1286, time 1249.31ms, mfu 22.33%, 0.18 GB
iter 360: loss 3.3858, time 1254.55ms, mfu 22.33%, 0.18 GB
iter 370: loss 2.9429, time 1259.95ms, mfu 22.32%, 0.19 GB
iter 380: loss 3.3055, time 1257.01ms, mfu 22.32%, 0.19 GB
iter 390: loss 3.1041, time 1259.16ms, mfu 22.31%, 0.20 GB
step 400: train loss 3.0592, val loss 3.1212
saving checkpoint to out/r2-tierB-gpt2tok
iter 400: loss 3.1788, time 5466.36ms, mfu 20.59%, 0.20 GB
iter 410: loss 2.9376, time 1255.10ms, mfu 20.77%, 0.21 GB
iter 420: loss 2.7150, time 1257.56ms, mfu 20.92%, 0.21 GB
iter 430: loss 3.0826, time 1256.18ms, mfu 21.06%, 0.22 GB
iter 440: loss 3.0802, time 1258.86ms, mfu 21.18%, 0.22 GB
iter 450: loss 2.7878, time 1254.99ms, mfu 21.29%, 0.23 GB
iter 460: loss 2.8547, time 1263.26ms, mfu 21.38%, 0.23 GB
iter 470: loss 3.2093, time 1255.32ms, mfu 21.48%, 0.24 GB
iter 480: loss 2.9474, time 1262.28ms, mfu 21.55%, 0.24 GB
iter 490: loss 2.4702, time 1256.30ms, mfu 21.62%, 0.25 GB
iter 500: loss 2.7971, time 1260.15ms, mfu 21.69%, 0.25 GB
iter 510: loss 2.6053, time 1256.38ms, mfu 21.75%, 0.26 GB
iter 520: loss 2.6378, time 1259.21ms, mfu 21.80%, 0.26 GB
iter 530: loss 2.8510, time 1255.67ms, mfu 21.85%, 0.27 GB
iter 540: loss 2.6470, time 1264.21ms, mfu 21.88%, 0.27 GB
iter 550: loss 2.6035, time 1256.18ms, mfu 21.92%, 0.28 GB
iter 560: loss 2.5953, time 1257.07ms, mfu 21.96%, 0.28 GB
iter 570: loss 2.6309, time 1259.43ms, mfu 21.99%, 0.29 GB
iter 580: loss 2.6891, time 1260.36ms, mfu 22.01%, 0.29 GB
iter 590: loss 2.6566, time 1261.81ms, mfu 22.03%, 0.30 GB
iter 600: loss 2.5591, time 1254.25ms, mfu 22.06%, 0.30 GB
iter 610: loss 2.7090, time 1261.81ms, mfu 22.08%, 0.31 GB
iter 620: loss 2.7458, time 1250.77ms, mfu 22.11%, 0.31 GB
iter 630: loss 2.7019, time 1260.90ms, mfu 22.12%, 0.32 GB
iter 640: loss 2.5952, time 1256.29ms, mfu 22.14%, 0.32 GB
iter 650: loss 2.4545, time 1261.55ms, mfu 22.15%, 0.33 GB
iter 660: loss 2.7482, time 1259.74ms, mfu 22.16%, 0.34 GB
iter 670: loss 2.5711, time 1255.29ms, mfu 22.18%, 0.34 GB
iter 680: loss 2.5329, time 1261.81ms, mfu 22.18%, 0.35 GB
iter 690: loss 2.4290, time 1253.91ms, mfu 22.20%, 0.35 GB
iter 700: loss 2.5351, time 1259.51ms, mfu 22.20%, 0.36 GB
iter 710: loss 2.3254, time 1255.13ms, mfu 22.21%, 0.36 GB
iter 720: loss 2.7545, time 1263.02ms, mfu 22.21%, 0.37 GB
iter 730: loss 2.7124, time 1257.25ms, mfu 22.22%, 0.37 GB
iter 740: loss 2.3714, time 1255.43ms, mfu 22.23%, 0.38 GB
iter 750: loss 2.4323, time 1257.57ms, mfu 22.23%, 0.38 GB
iter 760: loss 2.5414, time 1260.31ms, mfu 22.23%, 0.39 GB
iter 770: loss 2.3090, time 1254.48ms, mfu 22.25%, 0.39 GB
iter 780: loss 2.3168, time 1261.37ms, mfu 22.24%, 0.40 GB
iter 790: loss 2.3129, time 1254.06ms, mfu 22.25%, 0.40 GB
step 800: train loss 2.3902, val loss 2.4602
saving checkpoint to out/r2-tierB-gpt2tok
iter 800: loss 2.6189, time 5408.18ms, mfu 20.55%, 0.41 GB
iter 810: loss 2.4412, time 1250.85ms, mfu 20.73%, 0.41 GB
iter 820: loss 2.2633, time 1258.69ms, mfu 20.88%, 0.42 GB
iter 830: loss 2.4075, time 1258.34ms, mfu 21.02%, 0.42 GB
iter 840: loss 2.4824, time 1257.07ms, mfu 21.15%, 0.43 GB
iter 850: loss 2.3063, time 1264.54ms, mfu 21.25%, 0.43 GB
iter 860: loss 2.3305, time 1253.83ms, mfu 21.36%, 0.44 GB
iter 870: loss 2.2213, time 1262.30ms, mfu 21.45%, 0.44 GB
iter 880: loss 2.4034, time 1256.60ms, mfu 21.53%, 0.45 GB
iter 890: loss 2.3086, time 1259.82ms, mfu 21.60%, 0.45 GB
iter 900: loss 2.2903, time 1257.79ms, mfu 21.67%, 0.46 GB
iter 910: loss 2.1957, time 1259.74ms, mfu 21.73%, 0.46 GB
iter 920: loss 2.1723, time 1259.20ms, mfu 21.78%, 0.47 GB
iter 930: loss 2.2817, time 1257.38ms, mfu 21.83%, 0.47 GB
iter 940: loss 2.4038, time 1262.07ms, mfu 21.87%, 0.48 GB
iter 950: loss 2.4255, time 1254.02ms, mfu 21.92%, 0.48 GB
iter 960: loss 2.1297, time 1263.77ms, mfu 21.94%, 0.49 GB
iter 970: loss 2.1748, time 1256.42ms, mfu 21.98%, 0.49 GB
iter 980: loss 2.2597, time 1258.50ms, mfu 22.01%, 0.50 GB
iter 990: loss 2.2711, time 1256.03ms, mfu 22.04%, 0.50 GB
iter 1000: loss 2.2182, time 1261.46ms, mfu 22.06%, 0.51 GB
iter 1010: loss 2.3742, time 1253.81ms, mfu 22.08%, 0.51 GB
iter 1020: loss 2.3022, time 1261.24ms, mfu 22.10%, 0.52 GB
iter 1030: loss 2.1207, time 1251.26ms, mfu 22.13%, 0.52 GB
iter 1040: loss 2.2663, time 1259.62ms, mfu 22.14%, 0.53 GB
iter 1050: loss 2.5225, time 1254.48ms, mfu 22.16%, 0.53 GB
iter 1060: loss 2.5004, time 1258.95ms, mfu 22.17%, 0.54 GB
iter 1070: loss 2.2347, time 1260.59ms, mfu 22.18%, 0.54 GB
iter 1080: loss 2.3486, time 1258.63ms, mfu 22.18%, 0.55 GB
iter 1090: loss 2.0956, time 1258.64ms, mfu 22.19%, 0.55 GB
iter 1100: loss 2.3268, time 1255.01ms, mfu 22.21%, 0.56 GB
iter 1110: loss 2.2838, time 1261.06ms, mfu 22.21%, 0.56 GB
iter 1120: loss 2.1095, time 1256.96ms, mfu 22.22%, 0.57 GB
iter 1130: loss 2.2180, time 1262.80ms, mfu 22.21%, 0.57 GB
iter 1140: loss 2.2696, time 1242.07ms, mfu 22.25%, 0.58 GB
iter 1150: loss 2.2464, time 1257.97ms, mfu 22.25%, 0.58 GB
iter 1160: loss 2.1080, time 1252.01ms, mfu 22.26%, 0.59 GB
iter 1170: loss 2.2415, time 1259.55ms, mfu 22.26%, 0.59 GB
iter 1180: loss 2.2395, time 1257.85ms, mfu 22.26%, 0.60 GB
iter 1190: loss 2.3062, time 1257.92ms, mfu 22.27%, 0.60 GB
step 1200: train loss 2.2078, val loss 2.2548
saving checkpoint to out/r2-tierB-gpt2tok
iter 1200: loss 2.2426, time 5395.95ms, mfu 20.56%, 0.61 GB
iter 1210: loss 2.1045, time 1256.30ms, mfu 20.73%, 0.61 GB
iter 1220: loss 2.1788, time 1257.93ms, mfu 20.89%, 0.62 GB
iter 1230: loss 2.2172, time 1255.19ms, mfu 21.03%, 0.62 GB
iter 1240: loss 2.3320, time 1247.53ms, mfu 21.17%, 0.63 GB
iter 1250: loss 2.2278, time 1254.73ms, mfu 21.29%, 0.63 GB
